run_timestamp_utc,query_id,query_text,rank,stage,product_id,brand,product_name,category,subcategory,price_usd,final_score,embedding_score,review_avg,reviews_used,extracted_brand_norm,used_brand_filter,price_intent_json,,Ingredient Match,Skin Type Match,Concern Match,Category Match,overall_relevant,Validation
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",1,stage_a,skinfix acne+ 2% bha + azelaic acid + niacinamide + aha cleanser,Skinfix,Acne+ 2% BHA + Azelaic Acid + Niacinamide + AHA Cleanser,Cleansers,Face Wash & Cleansers,$35.00 ,0.608405,0.594565,0.629167,20,,0,,,1,1,1,1,1,"Correct, matches every concern/request."
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",2,stage_a,the inkey list salicylic acid acne + blackhead cleanser,The INKEY List,Salicylic Acid Acne + Blackhead Cleanser,Cleansers,Face Wash & Cleansers,$14.00 ,0.607569,0.580905,0.647566,20,,0,,,1,1,1,1,1,"Correct, matches every concern/request."
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",3,stage_a,peace out 2% salicylic acid acne gel cleanser,Peace Out,2% Salicylic Acid Acne Gel Cleanser,Cleansers,Face Wash & Cleansers,$29.00 ,0.601091,0.585171,0.62497,20,,0,,,1,1,1,1,1,"Correct, matches every concern/request."
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",4,stage_a,"the ordinary salicylic acid 2% solution, exfoliating serum for acne",The Ordinary,"Salicylic Acid 2% Solution, Exfoliating Serum for Acne",Treatments,Blemish & Acne Treatments,$6.70 ,0.592376,0.584755,0.603808,20,,0,,,1,1,1,0,0.75,This product treats the concerns but it is not a cleanser.
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",5,stage_a,paula's choice clear pore normalizing acne cleanser,Paula's Choice,CLEAR Pore Normalizing Acne Cleanser,Cleansers,Face Wash & Cleansers,$24.00 ,0.581249,0.601693,0.550583,20,,0,,,1,1,1,1,1,"Correct, matches every concern/request."
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",1,stage_b,the inkey list salicylic acid acne + blackhead cleanser,The INKEY List,Salicylic Acid Acne + Blackhead Cleanser,Cleansers,Face Wash & Cleansers,$14.00 ,0.601443,0.580905,0.626545,50,,0,,,,,,,,
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",2,stage_b,skinfix acne+ 2% bha + azelaic acid + niacinamide + aha cleanser,Skinfix,Acne+ 2% BHA + Azelaic Acid + Niacinamide + AHA Cleanser,Cleansers,Face Wash & Cleansers,$35.00 ,0.596573,0.594565,0.599029,50,,0,,,,,,,,
2026-01-18T12:43:24.716701,1,"I have oily, acne-prone skin with frequent breakouts around my chin and jaw. I’m looking for a gentle cleanser that contains salicylic acid and won’t dry out my skin.",3,stage_b,peace out 2% salicylic acid acne gel cleanser,Peace Out,2% Salicylic Acid Acne Gel Cleanser,Cleansers,Face Wash & Cleansers,$29.00 ,0.586027,0.585171,0.587072,50,,0,,,,,,,,
2026-01-18T12:44:30.582467,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is ffree of parabens above 60$.",1,stage_a,dermalogica super rich repair moisturizer,Dermalogica,Super Rich Repair Moisturizer,Moisturizers,Face Creams,$95.00 ,0.596448,0.622727,0.55703,20,,0,"{""gte"": 60.0}",,,1,1,1,1,"Correct, matches every concern/request."
2026-01-18T12:44:30.582467,2,"My skin is very dry and sensitive, especially in winter. I need a moisturizer that helps repair the skin barrier and is ffree of parabens above 60$.",2,stage_a,matter of fact minimalist hydrating moisturizer with pro-vitamin b5,MATTER OF FACT,MINIMALIST HYDRATING MOISTURIZER with Pro-Vitamin B5,Moisturizers,Face Creams,$76.00 ,0.569238,0.580985,0.551618,20,,0,"{""gte"": 60.0}",,,1,1,1,1,"Correct, matches every concern/request."
